exposure1	exposure2	beta1_prune_FIVW	se1_prune_FIVW	z1	p1	beta2_prune_FIVW	se2_prune_FIVW	z2	p2	nsnps	outcome	panel
FADS1 expression in Blood	FADS2 expression in Blood	-0.0997683172799939	0.0720343700245341	-1.38500992298557	0.166049433179133	-0.0469777682086669	0.0441249934288144	-1.06465212928484	0.287033380435119	299	Colorectal cancer	CHB
FADS1 expression in CD8 T cells	FADS2 expression in CD8 T cells	-0.0984262847371657	0.0337506179844485	-2.91628096358171	0.00354231349241248	0.0120057242268677	0.0440268057922038	0.272691239140353	0.7850905697259	299	Colorectal cancer	CHB
FADS1 expression in NK cells	FADS2 expression in NK cells	-0.0992311810751458	0.0366881793627859	-2.70471805357013	0.00683623857881061	-0.00640372166215197	0.0402723663907903	-0.159010314914507	0.873660747104866	299	Colorectal cancer	CHB
AA:DGLA lnD5Dpooled	GLA:LA lnD6Dpooled	0.903532835167537	0.292545285627987	3.08852297253051	0.00201154141044706	0.501530307145041	0.0738253031369443	6.79347440287125	1.09464667832434e-11	299	Colorectal cancer	JPT
FADS1 expression in B cells	FADS2 expression in B cells	-0.126627796204217	0.0388113718953555	-3.26264674553725	0.00110377010992814	0.0267187730054488	0.0435755992721936	0.613159048910626	0.539771179283703	299	Colorectal cancer	JPT
FADS1 expression in CD4 T cells	FADS2 expression in CD4 T cells	-0.0663365397815302	0.0351437175408803	-1.88757890238463	0.0590825046115126	-0.027820762892563	0.0360022465122022	-0.772750747182783	0.439669907193916	299	Colorectal cancer	JPT
FADS1 expression in Monocytes	FADS2 expression in Monocytes	0.268049656412321	0.0484057304975164	5.53756040157423	3.06713931752073e-08	-0.205554151994112	0.0451231865731562	-4.55539973137439	5.22860523219621e-06	299	Colorectal cancer	JPT
FADS1 expression in Blood	FADS2 expression in Blood	-0.141104853237418	0.0858733267587536	-1.64317441239732	0.100346852367232	-0.0379705561833534	0.0440408026656877	-0.86216766918593	0.38859525814551	299	Colorectal cancer	JPT
FADS1 expression in CD8 T cells	FADS2 expression in CD8 T cells	-0.0584869081867923	0.0437523222198456	-1.33677266072664	0.181296855794461	-0.0351845791775494	0.0530339932006251	-0.663434470122733	0.507052335439169	299	Colorectal cancer	JPT
FADS1 expression in NK cells	FADS2 expression in NK cells	-0.0947045798686854	0.0331768629331428	-2.85453691205017	0.00430996229187586	-0.0202292422422213	0.0341722771189047	-0.591978174934973	0.55386520330341	299	Colorectal cancer	JPT
AA:DGLA lnD5Dpooled	GLA:LA lnD6Dpooled	0.489727459034784	0.630800138485543	0.776359149524835	0.437536957496571	0.528400875281387	0.167011883024195	3.16385197096926	0.00155695963593145	321	Esophageal squamous cell carcinoma	CHB+JPT
FADS1 expression in B cells	FADS2 expression in B cells	-0.00756819592113422	0.0836159915229228	-0.0905113457759985	0.927880878335354	-0.105573934485764	0.093978597559208	-1.12338274062082	0.261274976778393	321	Esophageal squamous cell carcinoma	CHB+JPT
FADS1 expression in CD4 T cells	FADS2 expression in CD4 T cells	0.0502282604710929	0.0945152380833864	0.531430290920696	0.595120635514392	-0.186785364693437	0.109554360229499	-1.70495600816026	0.0882026293732974	321	Esophageal squamous cell carcinoma	CHB+JPT
FADS1 expression in Monocytes	FADS2 expression in Monocytes	0.318680095370566	0.108464120311507	2.93811533671525	0.00330214151678733	-0.142649199489151	0.0947158775450538	-1.50607483334879	0.132047964302626	321	Esophageal squamous cell carcinoma	CHB+JPT
FADS1 expression in Blood	FADS2 expression in Blood	-0.235708123382741	0.164230250461451	-1.43522964082715	0.151221669758606	0.00184179698802822	0.0969457601940388	0.0189982211119066	0.98484252450159	321	Esophageal squamous cell carcinoma	CHB+JPT
FADS1 expression in CD8 T cells	FADS2 expression in CD8 T cells	0.00155659782063811	0.0816602179470394	0.0190618866783779	0.984791735926252	-0.14551014055799	0.101151590540489	-1.43853536835632	0.150282209681649	321	Esophageal squamous cell carcinoma	CHB+JPT
FADS1 expression in NK cells	FADS2 expression in NK cells	-0.0654054420529897	0.0799643558458417	-0.817932457044746	0.413395755858423	-0.0523273689126463	0.084903519751791	-0.616315661183676	0.537686204484916	321	Esophageal squamous cell carcinoma	CHB+JPT
AA:DGLA lnD5Dpooled	GLA:LA lnD6Dpooled	0.370238610983423	0.646644204051449	0.572553822741704	0.566946833305506	0.472652868495795	0.157877679082046	2.99379159387166	0.00275534079850579	321	Esophageal squamous cell carcinoma	CHB
FADS1 expression in B cells	FADS2 expression in B cells	0.00297361662346907	0.0827627650426644	0.0359294016087568	0.971338651903776	-0.124528465048163	0.0945762339265592	-1.31669934272137	0.187939424036086	321	Esophageal squamous cell carcinoma	CHB
FADS1 expression in CD4 T cells	FADS2 expression in CD4 T cells	0.090152197972958	0.100600532795985	0.896140362951992	0.370177802128192	-0.234367069646655	0.11215691958485	-2.08963540113411	0.036650563934476	321	Esophageal squamous cell carcinoma	CHB
FADS1 expression in Monocytes	FADS2 expression in Monocytes	0.354651359169179	0.117212160585191	3.02572154116565	0.00248040619227151	-0.157763273504595	0.0983838154073902	-1.60354904768966	0.108813489563475	321	Esophageal squamous cell carcinoma	CHB
FADS1 expression in Blood	FADS2 expression in Blood	-0.228416271133375	0.180807717959059	-1.26331040351439	0.206477648866857	-0.0012774872949286	0.111735460298654	-0.0114331412025694	0.990877871889198	321	Esophageal squamous cell carcinoma	CHB
FADS1 expression in CD8 T cells	FADS2 expression in CD8 T cells	-0.0211462588912343	0.0761224310601113	-0.2777927425168	0.781171462637255	-0.130468815968511	0.102792262619405	-1.26924743792809	0.204352826657129	321	Esophageal squamous cell carcinoma	CHB
FADS1 expression in NK cells	FADS2 expression in NK cells	-0.067086274794278	0.0843449173699951	-0.795380170923533	0.426392390903593	-0.0490301298411003	0.0938570494748206	-0.522391553063405	0.601397736049205	321	Esophageal squamous cell carcinoma	CHB
AA:DGLA lnD5Dpooled	GLA:LA lnD6Dpooled	0.671332148490424	0.615807131136829	1.09016624612822	0.275639919024704	0.536990302442568	0.16931922036582	3.17146689715664	0.00151671153174538	321	Esophageal squamous cell carcinoma	JPT
FADS1 expression in B cells	FADS2 expression in B cells	-0.0492160777283353	0.0920026378388263	-0.534942028668285	0.592689944612182	-0.0372494312385124	0.100034672206918	-0.372365205150706	0.709620956528427	321	Esophageal squamous cell carcinoma	JPT
FADS1 expression in CD4 T cells	FADS2 expression in CD4 T cells	0.0856863200597017	0.0768691040827183	1.11470428961284	0.264977162208451	-0.21795134612235	0.0917191724910259	-2.37628993156993	0.0174877158041004	321	Esophageal squamous cell carcinoma	JPT
FADS1 expression in Monocytes	FADS2 expression in Monocytes	0.322181970374353	0.144076099330251	2.23619303876244	0.0253391290161521	-0.146481028920321	0.0911911731948159	-1.6063070995631	0.108206451223221	321	Esophageal squamous cell carcinoma	JPT
FADS1 expression in Blood	FADS2 expression in Blood	-0.162433798508334	0.19565765298847	-0.83019394348917	0.406429138973545	-0.0402219162561357	0.10476513086768	-0.383924650530306	0.701034295402655	321	Esophageal squamous cell carcinoma	JPT
FADS1 expression in CD8 T cells	FADS2 expression in CD8 T cells	0.0424428643754836	0.0879853898534932	0.48238536473108	0.629532215785027	-0.173637195826825	0.101462028864602	-1.71135150528617	0.0870162436761083	321	Esophageal squamous cell carcinoma	JPT
FADS1 expression in NK cells	FADS2 expression in NK cells	-0.146442216199634	0.0763731618086664	-1.91745650869488	0.0551799611453072	0.0341371029929298	0.0793205779538293	0.430368813157164	0.666927377746949	321	Esophageal squamous cell carcinoma	JPT
AA:DGLA lnD5Dpooled	GLA:LA lnD6Dpooled	0.241061763833968	0.493016210705534	0.488953017364267	0.624874959589641	0.266580153109437	0.119574533147488	2.22940576134742	0.0257869192465482	326	Lung cancer	CHB
FADS1 expression in B cells	FADS2 expression in B cells	-0.0458602483858983	0.0618577042623556	-0.741382968100341	0.458461268441894	-0.0508217545193352	0.070663617107876	-0.719206808246881	0.472013505149432	326	Lung cancer	CHB
FADS1 expression in CD4 T cells	FADS2 expression in CD4 T cells	-0.107289796758358	0.0775525635373637	-1.38344616689127	0.166528103004322	0.0326035198971438	0.0861119012747927	0.378618047151257	0.704971518548372	326	Lung cancer	CHB
FADS1 expression in Monocytes	FADS2 expression in Monocytes	0.14538691679807	0.089451152825438	1.62532189028116	0.10409398950036	-0.0945292181862292	0.0750953954448579	-1.25878847333112	0.208106744837229	326	Lung cancer	CHB
FADS1 expression in Blood	FADS2 expression in Blood	-0.342347584868143	0.135968748859422	-2.51784022240357	0.0118076871062985	0.121307074942195	0.0838338000172557	1.44699482687444	0.147898372440597	326	Lung cancer	CHB
FADS1 expression in CD8 T cells	FADS2 expression in CD8 T cells	-0.123430632521962	0.0580656760574427	-2.12570731803511	0.0335276372240078	0.0774166399614976	0.0784323517404044	0.987049836497717	0.323618207736424	326	Lung cancer	CHB
FADS1 expression in NK cells	FADS2 expression in NK cells	-0.065378631440083	0.063532757671688	-1.02905389024562	0.30345435194449	-0.00808399510018021	0.0703433637242823	-0.114921929691424	0.908507002874961	326	Lung cancer	CHB
AA:DGLA lnD5Dpooled	GLA:LA lnD6Dpooled	0.41745422164249	0.468487388104578	0.891068217079312	0.372892574462028	0.225947610804023	0.125485869862895	1.80058209781622	0.071768772937097	326	Lung cancer	JPT+CHB
FADS1 expression in B cells	FADS2 expression in B cells	-0.0441466030952537	0.0607493149374019	-0.726701249894651	0.467408987596355	-0.0336388288241057	0.0686380181395855	-0.490090328011747	0.624069981913466	326	Lung cancer	JPT+CHB
FADS1 expression in CD4 T cells	FADS2 expression in CD4 T cells	-0.074799291337289	0.0659708441747921	-1.13382346812337	0.256868604795422	0.015314822314489	0.0770795755133858	0.198688462053471	0.84250645003215	326	Lung cancer	JPT+CHB
FADS1 expression in Monocytes	FADS2 expression in Monocytes	0.128213928778911	0.0876403970466682	1.46295467728926	0.143479781045459	-0.069128694237929	0.0720143987883842	-0.959928783701509	0.33709105851592	326	Lung cancer	JPT+CHB
FADS1 expression in Blood	FADS2 expression in Blood	-0.208544423396603	0.121765798991525	-1.7126682953981	0.086773581038009	0.0500473899245392	0.0712600955872878	0.702319994269938	0.48247962690241	326	Lung cancer	JPT+CHB
FADS1 expression in CD8 T cells	FADS2 expression in CD8 T cells	-0.100677952992738	0.0640621770449055	-1.57156621327692	0.116051187270523	0.0560251687392539	0.0791052099123162	0.708236142744008	0.478798624971284	326	Lung cancer	JPT+CHB
FADS1 expression in NK cells	FADS2 expression in NK cells	-0.0371873876885693	0.0600900103891219	-0.618861395559041	0.536007672069065	-0.0273545966180602	0.063510787019133	-0.430707882895852	0.666680786322751	326	Lung cancer	JPT+CHB
AA:DGLA lnD5Dpooled	GLA:LA lnD6Dpooled	0.58447394023669	0.459416024327744	1.27221060930981	0.203298299099396	0.197220017478232	0.125580546913707	1.57046630489476	0.116306667453416	326	Lung cancer	JPT
FADS1 expression in B cells	FADS2 expression in B cells	-0.0629430373997861	0.0623718948616219	-1.00915704965243	0.312899321324492	-0.00171866591448538	0.0690317186526737	-0.0248967568536528	0.98013731408962	326	Lung cancer	JPT
FADS1 expression in CD4 T cells	FADS2 expression in CD4 T cells	-0.0231541841280651	0.0418394398099654	-0.553405691692607	0.579985642387855	-0.0378924455725764	0.0465471707535505	-0.814065494403568	0.415607431919169	326	Lung cancer	JPT
FADS1 expression in Monocytes	FADS2 expression in Monocytes	0.0529909023758736	0.106407670446	0.497998895697707	0.618484820534624	-0.0921977245571856	0.0694968101533934	-1.32664685405973	0.184625529018213	326	Lung cancer	JPT
FADS1 expression in Blood	FADS2 expression in Blood	-0.0416433175523013	0.109748486532241	-0.379443205716261	0.704358771574959	-0.041467429530799	0.0604883796643688	-0.685543731885179	0.493000874425879	326	Lung cancer	JPT
FADS1 expression in CD8 T cells	FADS2 expression in CD8 T cells	-0.0983875654644991	0.0630371264972265	-1.56078760139595	0.118573873800911	0.0569530539945393	0.0740231996029247	0.769394653298518	0.441659061677467	326	Lung cancer	JPT
FADS1 expression in NK cells	FADS2 expression in NK cells	-0.0530670554013821	0.0583711727741505	-0.909131218019362	0.363280865727248	-0.00891958554356215	0.060482165397182	-0.147474639589834	0.882757395524181	326	Lung cancer	JPT
