SNP	outcome	beta.outcome	se.outcome	eaf.outcome	pval.outcome	ncase.outcome	ncontrol.outcome	effect_allele.outcome	other_allele.outcome
rs174546	Prostate cancer FinnGen	-0.0388	0.0368	0.42	0.2916	1824	40413	T	C
rs174546	Respiratory and intrathoracic cancer FinnGen	-0.204	0.0588	0.41	0.000525799	615	95884	T	C
rs174546	Malignant skin cancer FinnGen	-0.0187	0.0487	0.41	0.7005	895	95604	T	C
rs174546	Thyroid cancer FinnGen	-0.0015	0.0809	0.41	0.9855	321	96178	T	C
rs174546	Urinary tract cancer FinnGen	-0.0879	0.0557	0.41	0.1146	690	95809	T	C
rs174546	Multiple myeloma FinnGen	0.3391	0.108	0.41	0.00168702	180	96319	T	C
rs174546	Cancer (all cause) FinnGen 33	-0.0131	0.0107	0.41	0.2206	31217	65282	T	C
rs174546	Non-follicular lymphoma FinnGen	-0.0367	0.0778	0.41	0.6376	344	96155	T	C
rs174546	Non-hodgkin lymphoma unspecified FinnGen	0.0577	0.1159	0.41	0.6187	155	96344	T	C
rs174546	Blood cancer FinnGen	0.0371	0.0462	0.41	0.4216	1001	95498	T	C
rs174546	Small bowel cancer UKB	-0.0977443939124721	0.119173847468076	0.35	0.412113	156	337003	T	C
rs174546	Squamous cell carcinoma UKB	-0.0583222803983948	0.0740827351433067	0.35	0.431131	404	336755	T	C
rs174546	Basal cell carcinoma UKB	-0.0800934746212999	0.0228342450016969	0.34	0.000449997	4290	458643	T	C
rs174546	Bladder cancer UKB	0.0202407093252293	0.0405363220667548	0.35	0.617553	1554	359640	T	C
rs174546	Cancer of digestive organs UKB	-0.0235063334178197	0.0198086564855049	0.35	0.235359	5690	355504	T	C
rs174546	Respiratory and intrathoracic cancer UKB	-0.0782364629899334	0.0337866358697114	0.35	0.0205807	1944	359250	T	C
rs174546	Malignant skin cancer UKB	-0.0530208950570451	0.0117662936810945	0.35	6.60298e-06	16531	344663	T	C
rs174546	Urinary tract cancer UKB	0.0259240543320033	0.0346988441602501	0.35	0.454995	1841	359353	T	C
rs174546	Kidney cancer UKB	-0.0350577717863879	0.0446511537447548	0.34	0.43	1114	461896	T	C
rs174546	Acute lymphoblastic leukaemia C-ALL	-0.18850060787067	0.1018	0.34	0.06396	419	481	T	C
rs174546	Oral cavity and pharyngeal cancer INHANCE	-0.0520304080943842	0.0287203390699251	0.32	0.06964	6034	6585	T	C
rs174546	Thyroid cancer EPITHYR	-0.025899321	0.053164172	0.31	0.626146779	1554	1973	T	C
rs174546	Uveal melanoma UMS	-0.0724631717337157	0.1256	0.31	0.5641	259	401	T	C
rs174546	Cervical cancer MCCS	-0.0206109539041243	0.03667	NA	NA	2866	6481	T	C
rs174546	Thyroid cancer TCS	-0.0751546736007605	0.09189	0.29	0.4134	690	497	T	C
rs174546	Nasopharyngeal carcinoma TNC	0.08765	0.1198	0.58	NA	277	285	T	C
rs174546	Liver cancer CHC	-0.118671529717499	0.1002	0.53	0.2365	1538	1465	T	C
rs174546	Pleural mesothelioma MPM	0.0669768	0.133095	NA	0.614764	407	389	T	C
rs174546	B cell non-hodgkin lymphoma BC-NHL	0.00541463270149884	0.09871	0.62	0.9563	253	1438	T	C
rs174546	Blood cancer UKB	-0.00375032673545429	0.0221900026036529	0.34	0.87	4552	372016	T	C
rs174546	Brain cancer UKB	0.0358895392732002	0.0605132909060225	0.34	0.55	606	372016	T	C
rs174546	Breast cancer UKB	0.0133462613267378	0.0130278246050525	0.34	0.31	13879	198523	T	C
rs174546	Cancer (all cause) UKB	-0.0188765855812963	0.00612065679418604	0.34	0.002	70223	372016	T	C
rs174546	Colorectal cancer UKB	-0.0295056827309637	0.0199358709473442	0.34	0.14	5657	372016	T	C
rs174546	Esophageal adenocarcinoma UKB	-0.0597611096956924	0.0547612908342993	0.34	0.28	740	372016	T	C
rs174546	Liver & bile duct cancer UKB	0.0213469550435786	0.0795927201961818	0.34	0.79	350	372016	T	C
rs174546	Liver cancer UKB	-0.0533190441591321	0.114847565038586	0.34	0.64	168	372016	T	C
rs174546	Lung cancer UKB	-0.0808833309318633	0.0288972582119828	0.34	0.0051	2671	372016	T	C
rs174546	Lung cancer adjusted for array UKB	-0.080642578138894	0.0289106804627645	0.34	0.0053	2671	372016	T	C
rs174546	Lymphoid leukaemia UKB	0.0427482764678059	0.054043511412619	0.34	0.43	760	372016	T	C
rs174546	Melanoma UKB	-0.0257412916152964	0.0244322237252096	0.34	0.29	3751	372016	T	C
rs174546	Multiple myeloma UKB	-0.0445547068704099	0.0608155655653589	0.34	0.46	601	372016	T	C
rs174546	Myeloid leukaemia UKB	-0.157189608451346	0.0692928429410676	0.34	0.023	462	372016	T	C
rs174546	Oral cavity and pharyngeal cancer UKB	-0.0995759338668904	0.0451113094121236	0.34	0.027	1091	372016	T	C
rs174546	Ovarian cancer UKB	-0.00298032619183886	0.0427764892232906	0.34	0.94	1218	198523	T	C
rs174546	Prostate cancer UKB	-0.00782955918546524	0.0159571372866724	0.35	0.62	9132	173493	T	C
rs174546	Acute lymphoblastic leukaemia SJ-COG	-0.926231	1.39286625328841	0.34	0.506062	317	17958	T	C
