region	iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait	max	min	bp	traits_nice_names	dropped_trait_nice_names
FADS1	11	None	NA	0	NA	NA	T23	61792714	61362758	429956	NA	POA:PA / SCD (Shin)
FADS1	12	None	NA	0	NA	NA	T22	61792714	61362758	429956	NA	POA:PA / SCD (Framingham)
FADS2	1	T5, T9, T12, T13, T24	0.8994	1	rs102275	0.3782	NA	61792714	61362758	429956	GLA:LA / D6D (Framingham), DHA:DPAn3 / ELOVL2 (CHARGE), ADA:AA / ELOVL2/5 (CHARGE), ADA:AA / ELOVL2/5 (Framingham), OA:SA / SCD (CHARGE)	NA
FADS2	2	T2, T15, T16, T18	0.5001	0.8282	rs174555	1	NA	61792714	61362758	429956	AA:DGLA / D5D (Framingham), DPAn3:EPA / ELOVL2/5 (CHARGE), DPAn3:EPA / ELOVL2/5 (Framingham), DGLA:GLA / ELOVL5 (CHARGE)	NA
FADS2	3	T3, T27	0.9997	1	rs968567	1	NA	61792714	61362758	429956	AA:DGLA / D5D (Shin), FADS2 expression in Adipose Subcutaneous (GTEx) mac=86	NA
FADS2	4	None	NA	1	NA	NA	T4	61792714	61362758	429956	NA	GLA:LA / D6D (CHARGE)
FADS2	5	None	NA	1	NA	NA	T14	61792714	61362758	429956	NA	ADA:AA / ELOVL2/5 (Shin)
FADS2	6	T28, T30, T31	0.9987	1	rs968567	1	NA	61792714	61362758	429956	FADS2 expression in Adipose Visceral Omentum (GTEx) mac=86, FADS2 expression in Whole Blood (GTEx) mac=86, FADS2 expression in blood (eQTLGen)	NA
FADS2	7	T10, T11, T17, T21, T25	0.8117	0.9988	rs1535	1	NA	61792714	61362758	429956	DHA:DPAn3 / ELOVL2 (Framingham), DHA:DPAn3 / ELOVL2 (Shin), DPAn3:EPA / ELOVL2/5 (Shin), POA:PA / SCD (CHARGE), OA:SA / SCD (Framingham)	NA
FADS2	8	None	NA	1	NA	NA	T19	61792714	61362758	429956	NA	DGLA:GLA / ELOVL5 (Framingham)
FADS2	9	None	NA	0.1247	NA	NA	T1	61792714	61362758	429956	NA	AA:DGLA / D5D (CHARGE)
FADS2	10	None	NA	0.4717	NA	NA	T6	61792714	61362758	429956	NA	GLA:LA / D6D (Shin)
FADS2	11	None	NA	0.007	NA	NA	T26	61792714	61362758	429956	NA	OA:SA / SCD (Shin)
FADS2	12	None	NA	8e-04	NA	NA	T8	61792714	61362758	429956	NA	DPAn6:AA / ELOVL2 (Shin)
FADS2	13	None	NA	6e-04	NA	NA	T20	61792714	61362758	429956	NA	DGLA:GLA / ELOVL5 (Shin)
FADS2	14	None	NA	4e-04	NA	NA	T23	61792714	61362758	429956	NA	POA:PA / SCD (Shin)
FADS2	15	None	NA	0	NA	NA	T29	61792714	61362758	429956	NA	FADS2 expression in Liver (GTEx) mac=86
FADS2	16	None	NA	0	NA	NA	T22	61792714	61362758	429956	NA	POA:PA / SCD (Framingham)
SCD	1	T6, T26	0.9765	0.9993	rs2305384	1	NA	102320363	101827619	492744	GLA:LA / D6D (Shin), OA:SA / SCD (Shin)	NA
SCD	2	None	NA	0.4058	NA	NA	T31	102320363	101827619	492744	NA	SCD expression in blood (eQTLGen)
SCD	3	T17, T21, T22, T27, T28	0.8772	0.8793	rs603424	1	NA	102320363	101827619	492744	DPAn3:EPA / ELOVL2/5 (Shin), POA:PA / SCD (CHARGE), POA:PA / SCD (Framingham), SCD expression in Adipose Subcutaneous (GTEx) mac=65, SCD expression in Adipose Visceral Omentum (GTEx) mac=65	NA
SCD	4	T3, T11	0.8727	0.8746	rs1993110	0.9999	NA	102320363	101827619	492744	AA:DGLA / D5D (Shin), DHA:DPAn3 / ELOVL2 (Shin)	NA
SCD	5	None	NA	0.0305	NA	NA	T23	102320363	101827619	492744	NA	POA:PA / SCD (Shin)
SCD	6	None	NA	0.0151	NA	NA	T15	102320363	101827619	492744	NA	DPAn3:EPA / ELOVL2/5 (CHARGE)
SCD	7	None	NA	0.0011	NA	NA	T24	102320363	101827619	492744	NA	OA:SA / SCD (CHARGE)
SCD	8	None	NA	0.0012	NA	NA	T1	102320363	101827619	492744	NA	AA:DGLA / D5D (CHARGE)
SCD	9	None	NA	6e-04	NA	NA	T14	102320363	101827619	492744	NA	ADA:AA / ELOVL2/5 (Shin)
SCD	10	None	NA	5e-04	NA	NA	T18	102320363	101827619	492744	NA	DGLA:GLA / ELOVL5 (CHARGE)
SCD	11	None	NA	5e-04	NA	NA	T19	102320363	101827619	492744	NA	DGLA:GLA / ELOVL5 (Framingham)
SCD	12	None	NA	4e-04	NA	NA	T8	102320363	101827619	492744	NA	DPAn6:AA / ELOVL2 (Shin)
SCD	13	None	NA	4e-04	NA	NA	T20	102320363	101827619	492744	NA	DGLA:GLA / ELOVL5 (Shin)
SCD	14	None	NA	2e-04	NA	NA	T29	102320363	101827619	492744	NA	SCD expression in Liver (GTEx) mac=65
SCD	15	None	NA	1e-04	NA	NA	T30	102320363	101827619	492744	NA	SCD expression in Whole Blood (GTEx) mac=65
SCD	16	None	NA	1e-04	NA	NA	T16	102320363	101827619	492744	NA	DPAn3:EPA / ELOVL2/5 (Framingham)
SCD	17	None	NA	0	NA	NA	T9	102320363	101827619	492744	NA	DHA:DPAn3 / ELOVL2 (CHARGE)
SCD	18	None	NA	0	NA	NA	T2	102320363	101827619	492744	NA	AA:DGLA / D5D (Framingham)
SCD	19	None	NA	0	NA	NA	T10	102320363	101827619	492744	NA	DHA:DPAn3 / ELOVL2 (Framingham)
SCD	20	None	NA	0	NA	NA	T5	102320363	101827619	492744	NA	GLA:LA / D6D (Framingham)
SCD	21	None	NA	0	NA	NA	T25	102320363	101827619	492744	NA	OA:SA / SCD (Framingham)
SCD	22	None	NA	0	NA	NA	T13	102320363	101827619	492744	NA	ADA:AA / ELOVL2/5 (Framingham)
SCD	23	None	NA	0	NA	NA	T7	102320363	101827619	492744	NA	DPAn6:AA / ELOVL2 (Framingham)
SCD	24	None	NA	0	NA	NA	T12	102320363	101827619	492744	NA	ADA:AA / ELOVL2/5 (CHARGE)
