SNP	Chr	SNP.GRCh37	SNP.GRCh38.p12	type
rs4246215	11	61564299	61796827	lead variant
rs174545	11	61569306	61801834	lead variant
rs2581624	3	142633869	142915027	lead variant
rs174549	11	61571382	61803910	lead variant
rs8523	6	10981053	10980820	lead variant
rs12580543	12	7100973	6992881	lead variant
rs174535	11	61551356	61783884	lead variant
rs2110073	12	7075882	6966719	lead variant
rs3811444	1	248039451	247876149	lead variant
rs11786056	8	131553945	130541699	lead variant
rs4842353	12	79068090	78674310	lead variant
rs9392552	6	4141572	4141338	lead variant
rs10469266	18	62169092	64501857	lead variant
rs11241696	5	122759862	123424168	lead variant
rs11985561	8	3452262	3594740	lead variant
rs12828102	12	91310019	90916242	lead variant
rs174536	11	61551927	61784455	lead variant
rs2881301	5	93590268	94254563	lead variant
rs509360	11	61548559	61781087	lead variant
rs6009527	22	49570587	49174661	lead variant
rs7255126	19	56551608	56040242	lead variant
rs7903338	10	99559721	97799964	lead variant
rs1080261	6	110851976	110530773	lead variant
rs10839732	11	7177851	7156620	lead variant
rs12714668	3	86890846	86841696	lead variant
rs1404384	1	58109829	57644157	lead variant
rs1539053	1	58099707	57634035	lead variant
rs1688589	1	102029842	101564286	lead variant
rs16979306	19	13802760	13691946	lead variant
rs174577	11	61604814	61837342	lead variant
rs1795851	12	104925884	104532106	lead variant
rs1882496	12	104900584	104506806	lead variant
rs2637523	6	113645875	113324673	lead variant
rs6133127	20	4469883	4489235	lead variant
rs7258177	19	13803170	13692356	lead variant
rs9942436	6	113641221	113320019	lead variant
rs10077799	5	158272083	158845075	lead variant
rs2288059	16	76170096	76136198	lead variant
rs2288061	16	76169731	76135833	lead variant
rs3815003	15	91312823	90769593	lead variant
rs4774830	15	56116231	55824033	lead variant
rs7336690	13	112075344	111422997	lead variant
rs7634260	3	9640458	9598774	lead variant
rs8031341	15	91313224	90769994	lead variant
rs1007500	5	66148984	66853156	lead variant
rs1148114	11	123498735	123628027	lead variant
rs17413459	5	143079208	143699643	lead variant
rs17799178	14	90605436	90139092	lead variant
rs6862531	5	143085953	143706388	lead variant
rs9538439	13	60066560	59492426	lead variant
rs10785571	12	45726615	45332832	lead variant
rs174534	11	61549458	61781986	lead variant
rs17667497	13	91619229	90966975	lead variant
rs2075291	11	116661392	116790676	lead variant
rs4839524	1	116800201	116257579	lead variant
rs11047395	12	24513701	24360767	lead variant
rs12025398	1	108243838	107701216	lead variant
rs12043814	1	108243851	107701229	lead variant
rs12153970	6	NA	32950679	lead variant
rs1363326	19	29325650	28834743	lead variant
rs1372436	2	151178895	150322381	lead variant
rs16944687	16	86138102	86104496	lead variant
rs1864803	2	222035912	221171192	lead variant
rs2357667	8	66955437	66043202	lead variant
rs409224	7	101865210	102221930	lead variant
rs4233802	2	151135525	150279011	lead variant
rs4805272	19	29319706	28828799	lead variant
rs7403037	15	24818497	24573350	lead variant
rs9923770	16	86139685	86106079	lead variant
rs2071520	9	117880792	115118513	lead variant
rs2099613	2	60983969	60756834	lead variant
rs427941	7	101882095	102238815	lead variant
rs4713428	6	31020933	31053156	lead variant
rs4757833	11	19663278	19641732	lead variant
rs8177876	16	81124275	81090670	lead variant
rs10788309	10	85790476	84030720	lead variant
rs12535608	7	17727580	17687956	lead variant
rs12806663	11	NA	62233942	lead variant
rs13112683	4	140749745	139828591	lead variant
rs174546	11	61569830	61802358	lead variant
rs2031365	6	87805592	87095874	lead variant
rs2074552	19	2214057	2214058	lead variant
rs2206405	20	7638949	7658302	lead variant
rs316338	6	2837846	2837612	lead variant
rs6444746	3	193495155	193777366	lead variant
rs7925523	11	61442492	61675020	lead variant
rs11006280	10	60615095	58855335	lead variant
rs11827215	11	61458595	61691123	lead variant
rs12571194	10	129962572	128164308	lead variant
rs16839633	3	127693417	127974574	lead variant
rs16889362	6	36965705	36997929	lead variant
rs17158807	15	84249460	83580708	lead variant
rs17278159	5	66012846	66717018	lead variant
rs174578	11	61605499	61838027	lead variant
rs2396261	2	226545530	225680814	lead variant
rs3229	12	42475888	42082086	lead variant
rs4476815	6	26260070	26259842	lead variant
rs6134031	20	10752610	10771962	lead variant
rs630041	1	20379575	20053082	lead variant
rs7312933	12	42503467	42109665	lead variant
rs746629	14	83255172	82788828	lead variant
rs9309515	2	77618401	77391275	lead variant
rs17159388	19	8320555	8255671	lead variant
rs11042834	11	10502422	10480875	lead variant
rs11589386	1	165003462	165034225	lead variant
rs112374025	11	61846289	62078817	lead variant
rs11644601	16	15172118	15078261	lead variant
rs175133	11	60859791	61092319	lead variant
rs2958540	11	62225120	62457648	lead variant
rs3781974	11	61906864	62139392	lead variant
rs72654473	19	45414399	44911142	lead variant
rs75306442	11	61641396	61873924	lead variant
rs76675711	11	61720537	61953065	lead variant
rs12226389	11	61823630	62056158	lead variant
rs7412	19	45412079	44908822	lead variant
rs75679663	17	4667972	4764677	lead variant
rs12365864	11	116489036	116618319	lead variant
rs11604424	11	116651115	116780399	lead variant
rs143988316	19	19667254	19556445	lead variant
rs145717049	19	19130096	19019287	lead variant
rs2281591	6	10990493	10990260	lead variant
rs261334	15	58726744	58434545	lead variant
rs10402112	19	11191677	11081001	lead variant
rs113105517	1	55243587	54777914	lead variant
rs12239737	1	63086001	62620330	lead variant
rs1260326	2	27730940	27508073	lead variant
rs143341434	1	54759547	54293874	lead variant
rs144064722	4	73406173	72540456	lead variant
rs144723570	21	45244466	43824585	lead variant
rs17414716	1	55759138	55293465	lead variant
rs174418	15	58687603	58395404	lead variant
rs1800588	15	58723675	58431476	lead variant
rs190934192	1	55334001	54868328	lead variant
rs4296389	2	21142994	20943234	lead variant
rs4609471	1	55493584	55027911	lead variant
rs76366838	19	45399896	44896639	lead variant
rs769449	19	45410002	44906745	lead variant
rs79225634	5	74619639	75323814	lead variant
rs821840	16	56993886	56959974	lead variant
rs964184	11	116648917	116778201	lead variant
rs9804646	11	116665079	116794363	lead variant
rs99780	11	61596633	61829161	lead variant
rs115849089	8	19912370	20054859	lead variant
rs1601934	15	NA	58379522	lead variant
rs41272659	2	207634958	206770234	lead variant
rs8107974	19	19388500	19277691	lead variant
rs1077835	15	58723426	58431227	lead variant
rs11591147	1	55505647	55039974	lead variant
rs3741298	11	116657561	116786845	lead variant
rs76246956	4	74783906	73918189	lead variant
rs9358816	6	24988520	24988292	lead variant
rs113017397	11	61738222	61970750	lead variant
rs12421620	11	66276576	66509105	lead variant
rs139872716	11	60958040	61190568	lead variant
rs143020224	19	11187324	11076648	lead variant
rs174527	11	61538401	61770929	lead variant
rs17825908	11	60841572	61074100	lead variant
rs186832402	11	60953618	61186146	lead variant
rs2429461	11	67233387	67465916	lead variant
rs36016715	11	75449644	75738599	lead variant
rs415742	11	60821968	61054496	lead variant
rs4608457	19	20217169	20106360	lead variant
rs6591668	11	61661113	61893641	lead variant
rs72920193	11	61602572	61835100	lead variant
rs7936002	11	62219029	62451557	lead variant
rs150684478	11	61312726	61545254	lead variant
rs17145876	11	62195359	62427887	lead variant
rs4122352	16	15174571	15080714	lead variant
rs10051260	5	74567359	75271534	lead variant
rs1168041	1	62960250	62494579	lead variant
rs11820792	11	67405967	67638496	lead variant
rs429358	19	45411941	44908684	lead variant
rs12579775	12	7085171	6976009	lead variant
rs10883511	10	102299407	100539650	lead variant
rs12583793	13	46057286	45483151	lead variant
rs6986921	8	138865556	137853313	lead variant
rs76065946	13	60373704	59799570	lead variant
rs34440628	2	222523887	221659167	lead variant
rs11695051	2	73234432	73007303	lead variant
rs12535041	7	88573471	88944157	lead variant
rs7335338	13	26242505	25668367	lead variant
rs7198595	16	12564907	12471050	lead variant
rs13361131	5	16804980	16804871	lead variant
rs17363566	13	50934892	50360756	lead variant
rs174561	11	61582708	61815236	proxy
rs174537	11	61552680	61785208	proxy
rs174578	11	61605499	61838027	proxy
rs174581	11	61606683	61839211	proxy
rs174554	11	61579463	61811991	proxy
rs1535	11	61597972	61830500	proxy
rs174553	11	61575158	61807686	proxy
rs102275	11	61557803	61790331	proxy
rs174576	11	61603510	61836038	proxy
rs174529	11	61543961	61776489	proxy
rs174584	11	61610750	61843278	proxy
rs174549	11	61571382	61803910	proxy
rs174544	11	61567753	61800281	proxy
rs174533	11	61549025	61781553	proxy
rs174538	11	61560081	61792609	proxy
rs174583	11	61609750	61842278	proxy
rs5792235	11	61596322	61828851	proxy
rs174535	11	61551356	61783884	proxy
rs174546	11	61569830	61802358	proxy
rs174528	11	61543499	61776027	proxy
rs174568	11	61593816	61826344	proxy
rs174577	11	61604814	61837342	proxy
rs102274	11	61557826	61790354	proxy
rs99780	11	61596633	61829161	proxy
rs174566	11	61592362	61824890	proxy
rs11320420	11	61542006	61774535	proxy
rs174536	11	61551927	61784455	proxy
rs174547	11	61570783	61803311	proxy
rs174599	11	61621556	61854084	proxy
rs174557	11	61581368	61813896	proxy
rs174550	11	61571478	61804006	proxy
rs4246215	11	61564299	61796827	proxy
rs5792239	11	61614426	61846955	proxy
rs174580	11	61606642	61839170	proxy
rs174592	11	61618608	61851136	proxy
rs174574	11	61600342	61832870	proxy
rs174545	11	61569306	61801834	proxy
rs174530	11	61546592	61779120	proxy
rs174567	11	61593005	61825533	proxy
rs174601	11	61623140	61855668	proxy
rs3834458	11	61594920	61827449	proxy
rs174555	11	61579760	61812288	proxy
rs174564	11	61588305	61820833	proxy
rs174541	11	61565908	61798436	proxy
rs35473591	11	61586328	61818857	proxy
rs174562	11	61585144	61817672	proxy
rs174551	11	61573684	61806212	proxy
rs174594	11	61619829	61852357	proxy
rs174556	11	61580635	61813163	proxy
rs7394579	11	61581450	61813978	proxy
rs174560	11	61581764	61814292	proxy
rs174559	11	61581656	61814184	proxy
rs174548	11	61571348	61803876	proxy
rs28456	11	61589481	61822009	proxy
rs58854284	10	102237823	100478066	proxy
rs7081003	10	102202112	100442355	proxy
rs2295772	10	102265183	100505426	proxy
rs2489035	10	102319395	100559638	proxy
rs74210981	10	102287520	100527763	proxy
rs7098779	10	102276193	100516436	proxy
rs7085439	10	102210100	100450343	proxy
rs117727370	10	102308817	100549060	proxy
rs3750720	10	102248884	100489127	proxy
rs58469846	10	102317559	100557802	proxy
rs76770539	10	102206385	100446629	proxy
rs10883507	10	102291275	100531518	proxy
rs7091356	10	102292268	100532511	proxy
rs11190555	10	102209160	100449403	proxy
rs10883492	10	102206089	100446332	proxy
rs2495751	10	102327260	100567503	proxy
rs11190602	10	102297256	100537499	proxy
rs2298075	10	102247408	100487651	proxy
rs2495755	10	102324649	100564892	proxy
rs10883502	10	102238343	100478586	proxy
rs2495734	10	102338686	100578929	proxy
rs4919462	10	102214710	100454953	proxy
rs7071271	10	102264824	100505067	proxy
rs4274153	10	102215603	100455846	proxy
rs11190604	10	102302457	100542700	proxy
rs112932964	10	102237144	100477388	proxy
rs113955018	10	102208391	100448635	proxy
rs11190553	10	102207959	100448202	proxy
rs11190607	10	102303614	100543857	proxy
rs11190541	10	102203071	100443314	proxy
rs2495756	10	102323982	100564225	proxy
rs77871896	10	102207338	100447582	proxy
rs7079136	10	102292709	100532952	proxy
rs2495752	10	102326115	100566358	proxy
rs4919468	10	102288343	100528586	proxy
rs11190570	10	102227702	100467945	proxy
rs2273694	10	102256496	100496739	proxy
rs7078799	10	102301447	100541690	proxy
rs2273695	10	102259568	100499811	proxy
rs112564313	10	102234216	100474460	proxy
rs2003284	10	102202338	100442581	proxy
rs10883503	10	102275504	100515747	proxy
rs2295770	10	102239829	100480072	proxy
rs11190574	10	102234331	100474574	proxy
rs7080356	10	102266735	100506978	proxy
rs10883497	10	102228519	100468762	proxy
rs151131396	10	102308822	100549065	proxy
rs10883509	10	102296461	100536704	proxy
rs1417823	10	102227886	100468129	proxy
rs2707993	3	142634292	142915450	proxy
rs11291664	3	142632346	142913505	proxy
rs2619150	3	142640633	142921791	proxy
rs2581624	3	142633869	142915027	proxy
rs97384	11	61624181	61856709	proxy
rs143352979	11	61620628	61853157	proxy
rs9348808	6	11083472	11083239	proxy
rs4713165	6	11074302	11074069	proxy
rs9393818	6	10967918	10967685	proxy
rs34899380	6	10999613	10999381	proxy
rs66464172	6	10979018	10978785	proxy
rs3798711	6	11002810	11002577	proxy
rs3798707	6	10991935	10991702	proxy
rs3798720	6	11040002	11039769	proxy
rs56190003	6	11088533	11088300	proxy
rs4713103	6	10969141	10968908	proxy
rs1323739	6	11004561	11004328	proxy
rs3734398	6	10982973	10982740	proxy
rs9380074	6	11062201	11061968	proxy
rs59411870	6	11085334	11085102	proxy
rs6920247	6	10960173	10959940	proxy
rs1812685	6	11047476	11047243	proxy
rs1225737	6	10982652	10982419	proxy
rs4713169	6	11084554	11084321	proxy
rs7770142	6	11086033	11085800	proxy
rs67580629	6	11006026	11005793	proxy
rs6918936	6	10960158	10959925	proxy
rs35460883	6	11027942	11027710	proxy
rs9295741	6	10997166	10996933	proxy
rs4713170	6	11085511	11085278	proxy
rs7752895	6	11064780	11064547	proxy
rs9379992	6	10984330	10984097	proxy
rs113406923	6	11047869	11047637	proxy
rs6456810	6	11052418	11052185	proxy
rs2093777	6	10985330	10985097	proxy
rs201282143	6	11052999	11052767	proxy
rs9348807	6	11082322	11082089	proxy
rs1225717	6	10978240	10978007	proxy
rs953413	6	11012859	11012626	proxy
rs9357069	6	11083486	11083253	proxy
rs9368513	6	10975796	10975563	proxy
rs2024980	6	11074688	11074455	proxy
rs59542081	6	11059209	11058976	proxy
rs9295733	6	10965447	10965214	proxy
rs61624919	6	10997823	10997590	proxy
rs2147041	6	11050523	11050290	proxy
rs3945981	6	11011405	11011172	proxy
rs7756794	6	11011531	11011298	proxy
rs60273772	6	11075152	11074919	proxy
rs9368512	6	10975032	10974799	proxy
rs151337465	6	10971927	10971695	proxy
rs55914027	6	11088421	11088188	proxy
rs113673873	6	11020416	11020184	proxy
rs9461383	6	10969796	10969563	proxy
rs3778167	6	11033468	11033235	proxy
rs3835256	6	10974449	10974217	proxy
rs1321535	6	11076026	11075793	proxy
rs146495690	6	10972036	10971803	proxy
rs58988487	6	10991667	10991435	proxy
rs9295752	6	11010800	11010567	proxy
rs201647454	6	10972032	10971800	proxy
rs4711177	6	11089128	11088895	proxy
rs12665478	6	11080825	11080592	proxy
rs57896541	6	11075017	11074784	proxy
rs1238273	6	10968904	10968671	proxy
rs9379996	6	10986812	10986579	proxy
rs34504196	6	11072714	11072482	proxy
rs2295602	6	11005842	11005609	proxy
rs4532436	6	10983971	10983738	proxy
rs12526913	6	11082924	11082691	proxy
rs2236212	6	10995015	10994782	proxy
rs68148747	6	10967020	10966787	proxy
rs9468126	6	10966541	10966308	proxy
rs9918362	6	10999650	10999417	proxy
rs9295764	6	11045196	11044963	proxy
rs1570069	6	11017825	11017592	proxy
rs35222815	6	11073416	11073184	proxy
rs8523	6	10981053	10980820	proxy
rs9295763	6	11045192	11044959	proxy
rs6920155	6	11047956	11047723	proxy
rs4711171	6	11074347	11074114	proxy
rs3798713	6	11008622	11008389	proxy
rs17675322	6	11059185	11058952	proxy
rs61390967	6	11075200	11074967	proxy
rs115367234	6	11044658	11044425	proxy
rs57549068	6	11059210	11058977	proxy
rs4713082	6	10961266	10961033	proxy
rs6900220	6	11065138	11064905	proxy
rs60376022	6	11027949	11027716	proxy
rs7767047	6	11073223	11072990	proxy
rs5874300	6	10990906	10990674	proxy
rs9380025	6	11011074	11010841	proxy
rs2327333	6	11072895	11072662	proxy
rs9468136	6	10971948	10971715	proxy
rs2295600	6	10962250	10962017	proxy
rs4711146	6	10961405	10961172	proxy
rs7743830	6	11014220	11013987	proxy
rs75406264	12	7075213	6966050	proxy
rs146656674	12	7104234	6996143	proxy
rs200516927	12	7102766	6994675	proxy
rs73264665	12	7118319	7011014	proxy
rs7956786	12	7081378	6972216	proxy
rs73266713	12	7148943	7041639	proxy
rs4394918	12	7110335	7003030	proxy
rs7977677	12	7094334	6985173	proxy
rs12580543	12	7100973	6992881	proxy
rs73266722	12	7153005	7045701	proxy
rs58788584	12	7081439	6972277	proxy
rs61433395	12	7111088	7003783	proxy
rs73264668	12	7120817	7013513	proxy
rs16928105	12	7114196	7006891	proxy
rs73264607	12	7079563	6970400	proxy
rs73264656	12	7112272	7004967	proxy
rs58740942	12	7111116	7003811	proxy
rs148384981	12	7114673	7007369	proxy
rs117633233	12	7145709	7038405	proxy
rs113575638	12	7132919	7025615	proxy
rs73264677	12	7131213	7023909	proxy
rs73264658	12	7112453	7005148	proxy
rs60834108	12	7102216	6994124	proxy
rs112198768	12	7133041	7025737	proxy
rs111676401	12	7114409	7007104	proxy
rs7297026	12	7100082	6991990	proxy
rs73264696	12	7142367	7035063	proxy
rs73264692	12	7141382	7034078	proxy
rs112359004	12	7128955	7021651	proxy
rs141731841	12	7090096	6980935	proxy
rs149336203	12	7152309	7045005	proxy
rs79159347	12	7127162	7019858	proxy
rs73264610	12	7083132	6973970	proxy
rs73264680	12	7134412	7027108	proxy
rs1984564	12	7090193	6981031	proxy
rs55665216	12	7143389	7036085	proxy
rs73264659	12	7113976	7006671	proxy
rs58245990	12	7139628	7032324	proxy
rs57438850	12	7100540	6992448	proxy
rs3764031	12	7091918	6982757	proxy
rs73264687	12	7138314	7031010	proxy
rs73264674	12	7131014	7023710	proxy
rs12582990	12	7145853	7038549	proxy
rs55645776	12	7130665	7023361	proxy
rs58845597	12	7120942	7013638	proxy
rs58404968	12	7138901	7031597	proxy
rs7952839	12	7110571	7003266	proxy
rs61170325	12	7089613	6980451	proxy
rs73264683	12	7136311	7029007	proxy
rs57301478	12	7111184	7003879	proxy
rs370183244	12	7105102	6997020	proxy
rs60015123	12	7112902	7005597	proxy
rs34962575	12	7114074	7006769	proxy
rs73264697	12	7142761	7035457	proxy
rs111754404	12	7135551	7028247	proxy
rs111704905	12	7147306	7040002	proxy
rs111396536	12	7137325	7030021	proxy
rs12580233	12	7124522	7017218	proxy
rs58192977	12	7138909	7031605	proxy
rs2110073	12	7075882	6966719	proxy
rs7296933	12	7130119	7022815	proxy
rs73264678	12	7131259	7023955	proxy
rs12579776	12	7145347	7038043	proxy
rs12579960	12	7124347	7017043	proxy
rs12578175	12	7118357	7011052	proxy
rs7311050	12	7120836	7013532	proxy
rs16933011	12	7073805	6964642	proxy
rs57963918	12	7146064	7038760	proxy
rs73264695	12	7141968	7034664	proxy
rs3811444	1	248039451	247876149	proxy
rs10883494	10	102208537	100448780	proxy
rs11190557	10	102209369	100449612	proxy
rs12219789	10	102213778	100454021	proxy
rs11190556	10	102209223	100449466	proxy
rs2489039	10	102328036	100568279	proxy
rs11190571	10	102232077	100472320	proxy
rs4917901	10	102201773	100442016	proxy
rs10883505	10	102280772	100521015	proxy
rs2495760	10	102318771	100559014	proxy
rs11190601	10	102296730	100536973	proxy
rs11190606	10	102303369	100543612	proxy
rs2295779	10	102296061	100536304	proxy
rs10883504	10	102280687	100520930	proxy
rs3793771	10	102222957	100463200	proxy
rs2495736	10	102338410	100578653	proxy
rs2295780	10	102305965	100546208	proxy
rs1054399	10	102312565	100552808	proxy
rs201981793	10	102298664	100538908	proxy
rs11190558	10	102209397	100449640	proxy
rs7094586	10	102292448	100532691	proxy
rs9420796	10	102323092	100563335	proxy
rs10883493	10	102208188	100448431	proxy
rs3830973	10	102265445	100505689	proxy
rs1106565	10	102211613	100451856	proxy
rs2495750	10	102327708	100567951	proxy
rs112956302	10	102319746	100559990	proxy
rs10883498	10	102228709	100468952	proxy
rs11292	10	102313607	100553850	proxy
rs10883496	10	102221931	100462174	proxy
rs11190551	10	102204734	100444977	proxy
rs4244338	10	102272802	100513045	proxy
rs2495741	10	102331795	100572038	proxy
rs7080884	10	102202136	100442379	proxy
rs7920870	10	102217494	100457737	proxy
rs11190575	10	102234497	100474740	proxy
rs11190552	10	102206607	100446850	proxy
rs7088827	10	102303865	100544108	proxy
rs12219158	10	102302923	100543166	proxy
rs1539089	10	102221424	100461667	proxy
rs10786598	10	102291579	100531822	proxy
rs7070776	10	102264672	100504915	proxy
rs2495740	10	102332041	100572284	proxy
rs2495753	10	102325640	100565883	proxy
rs2495758	10	102321900	100562143	proxy
rs7099913	10	102314777	100555020	proxy
rs2489036	10	102319581	100559824	proxy
rs11190603	10	102301314	100541557	proxy
rs2295776	10	102295629	100535872	proxy
rs2495732	10	102357780	100598023	proxy
rs6584379	10	102224490	100464733	proxy
rs71891071	10	102315709	100555953	proxy
rs11190540	10	102202629	100442872	proxy
rs108499	11	61547237	61779765	proxy
rs174534	11	61549458	61781986	proxy
rs3763695	10	102269206	100509449	proxy
rs149014233	10	102260846	100501090	proxy
rs3833721	10	102275671	100515924	proxy
rs35106985	10	102307542	100547785	proxy
rs10883513	10	102316964	100557207	proxy
rs11190599	10	102295420	100535663	proxy
rs111542857	10	102207514	100447758	proxy
rs10786597	10	102291287	100531530	proxy
rs10509744	10	102271579	100511822	proxy
rs143845416	10	102226733	100466977	proxy
rs9420792	10	102258439	100498682	proxy
rs11190572	10	102232879	100473122	proxy
rs7085261	10	102209811	100450054	proxy
rs57025426	10	102205868	100446111	proxy
rs7079756	10	102302105	100542348	proxy
rs2495754	10	102324812	100565055	proxy
rs75198979	10	102206751	100446995	proxy
rs2295773	10	102265815	100506058	proxy
rs10687207	10	102307619	100547863	proxy
rs74650218	10	102293830	100534073	proxy
rs9419897	10	102246125	100486368	proxy
rs2489049	10	102350732	100590975	proxy
rs147996837	10	102234093	100474337	proxy
rs10883510	10	102297018	100537261	proxy
rs11190613	10	102313997	100554240	proxy
rs4633386	10	102211680	100451923	proxy
rs28522614	10	102323141	100563384	proxy
rs2298074	10	102247526	100487769	proxy
rs2489053	10	102353341	100593584	proxy
rs1800662	10	102289078	100529321	proxy
rs12355721	10	102244911	100485154	proxy
rs4604805	10	102261409	100501652	proxy
rs2489034	10	102319192	100559435	proxy
rs4919461	10	102205733	100445976	proxy
rs4919472	10	102315864	100556107	proxy
rs2495735	10	102338609	100578852	proxy
rs7073550	10	102210596	100450839	proxy
rs11190562	10	102215692	100455935	proxy
rs57175458	10	102278128	100518372	proxy
rs10883499	10	102232188	100472431	proxy
rs4919463	10	102214762	100455005	proxy
rs11190595	10	102291761	100532004	proxy
rs9420782	10	102235015	100475258	proxy
rs10883500	10	102238324	100478567	proxy
rs11190596	10	102293238	100533481	proxy
rs7090431	10	102261753	100501996	proxy
rs11190568	10	102224277	100464520	proxy
rs10883512	10	102308516	100548759	proxy
rs75251745	10	102219365	100459608	proxy
rs12354411	10	102294537	100534780	proxy
rs7084810	10	102297546	100537789	proxy
rs9420797	10	102331147	100571390	proxy
rs2489045	10	102344754	100584997	proxy
rs11190573	10	102233172	100473415	proxy
rs12358187	10	102284449	100524692	proxy
rs147914046	10	102281122	100521366	proxy
rs11190578	10	102238953	100479196	proxy
rs17113137	10	102241998	100482241	proxy
rs2495744	10	102329409	100569652	proxy
rs509360	11	61548559	61781087	proxy
rs35230526	10	99561385	97801628	proxy
rs7903676	10	99559744	97799987	proxy
rs11277209	10	99578905	97819149	proxy
rs7083673	10	99560606	97800849	proxy
rs7903338	10	99559721	97799964	proxy
rs72918042	11	61451548	61684076	proxy
rs4963308	11	61456426	61688954	proxy
rs4963255	11	61507606	61740134	proxy
rs35404524	11	61455130	61687659	proxy
rs3825036	11	61516476	61749004	proxy
rs2240286	11	61506454	61738982	proxy
rs60399071	11	61443155	61675683	proxy
rs72918024	11	61441836	61674364	proxy
rs59371352	11	61450295	61682823	proxy
rs151242175	11	61447323	61679851	proxy
rs7925523	11	61442492	61675020	proxy
rs17156244	11	61482395	61714923	proxy
rs9735635	11	61490880	61723408	proxy
